#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
5154,HD 31768,**,-0.06515095159,1.302175591,19.5724,6.969
5155,HD 208816,s*r,1.110475344,5.744979689,1.0033,4.90
5156,HD 31398,V*,0.5788575363,1.295879337,7.2491,2.69
5157,CD-60 1965,*,-1.061455069,2.086368725,2.4266,6.69
5158,HD 30122,*,0.412386276,1.24663538,3.8514,6.329
5159,HD 22819,*,-0.01956905532,0.9598997579,8.0315,6.123
5160,HD 95804,PM*,0.4498524726,2.896142016,15.2940,6.98
5161,HD 167147,*,-0.6037884867,4.779825312,2.5705,6.91
5162,HD 52666,V*,-0.09986884164,1.84105937,3.6785,5.192
5163,HD 160976,*,-0.7701171607,4.647126949,4.3772,6.96
5164,HD 137812,SB*,-0.2740274625,4.051953097,25.5623,6.79
5165,HD 41742,SB*,-0.7867754968,1.591165864,35.779,5.966
5166,HD 127381,El*,-0.880643368,3.80751249,5.0316,4.423
5167,HD 128488,*,-0.6770862868,3.832406591,5.2123,6.031
5168,HD 117846,**,0.6425983322,3.544618825,4.84,6.82
5169,HD 181751,Be*,0.3874418633,5.065403704,5.5626,6.55
5170,HD 121847,PM*,-0.4358480239,3.65872981,8.6694,5.15
5171,HD 19545,PM*,-0.4857452225,0.8196393368,18.8494,6.170
5172,HD 206445,*,0.02243191669,5.681782119,3.098,5.641
5173,HD 15865,*,0.6760537962,0.6725559326,2.1475,6.67
5174,HD 7193,PM*,0.2143581975,0.315551875,28.6869,6.88
5175,HD 27402,PM*,1.040498668,1.147404824,7.2743,6.18
5176,HD 208450,**,-0.9598015174,5.750501623,17.34,4.40
5177,HD 36408B,Be*,0.2976842277,1.449682611,3.0296,6.490
5178,HD 34897,Mi*,-0.5883169581,1.393160525,1.6027,6.60
5179,HD 224687,*,1.513312227,6.281057426,4.7062,6.74
5180,HD 102994,PM*,-0.7518826065,3.103866884,6.1931,6.99
5181,HD 82785,PM*,-0.6829311513,2.500742675,13.6652,6.410
5182,HD 104991,*,-0.8773868677,3.164871938,2.3348,6.95
5183,HD 98526,PM*,0.7853682287,2.969385802,10.6518,6.731
5184,HD 157662,*,-0.8836667056,4.569305507,1.0244,5.898
5185,HD 45461,V*,-1.111480383,1.671258513,2.8437,6.278
5186,HD 78712,S*,0.5404086773,2.40264912,6.6490,5.95
5187,HD 209950,LP*,-0.1823323978,5.791446898,2.5287,6.90
5188,HD 106661,PM*,0.2600377903,3.211419391,15.3309,5.090
5189,* eta Ori A,SB*,-0.04183810695,1.415797811,1.5783,3.59
5190,HD 39425,PM*,-0.6242747708,1.531351325,36.9038,3.12
5191,HD 33162,PM*,-0.2197833547,1.343162339,3.5784,6.33
5192,HD 18345,LP*,0.07855771077,0.7726407804,3.0497,6.21
5193,HD 37507,SB*,-0.1258876279,1.478663536,22.9587,4.80
5194,HD 123980,PM*,0.01395524447,3.712297383,9.1161,6.85
5195,HD 17706,**,1.124899329,0.757799456,1.4219,6.408
5196,HD 82513,*,-0.5562680207,2.493795881,8.8101,5.899
5197,HD 30545,*,0.06263167667,1.259882237,3.648,6.028
5198,HD 49183,*,-0.3469347948,1.773387599,6.08,6.74
5199,HD 151231,V*,-0.9239920047,4.40213913,2.9935,6.75
5200,HD 102124,PM*,0.1441312759,3.077381978,27.5153,4.842
5201,HD 195820,PM*,0.9129734128,5.372788944,8.6119,6.207
5202,HD 212717,PM*,-0.1287621698,5.875555254,12.3111,6.85
5203,HD 17361,PM*,0.5104585106,0.7326413743,19.0390,4.510
5204,HD 77137,RS*,-0.4854860999,2.354937962,18.3154,6.87
5205,HD 65938,SB*,-0.1120363763,2.099006091,14.236,6.45
5206,HD 30202,*,-0.7167157325,1.23804,4.4581,6.218
5207,HD 90454,PM*,-1.022349338,2.727034624,9.4581,5.93
5208,HD 83787,LP*,0.5459008283,2.537644479,3.2999,5.84
5209,HD 74405,*,-1.22848043,2.264940056,13.2632,5.20
5210,HD 177756,PM*,-0.08521679585,5.001454677,25.6409,3.43
5211,HD 36819,*,0.4195701014,1.463686318,5.0758,5.38
5212,HD 130328,LP*,-0.6393960807,3.877397747,5.9561,6.01
5213,HD 2302,PM*,0.4370665201,0.1181423701,14.2752,6.646
5214,HD 33608,PM*,-0.04347235485,1.358388035,26.8642,5.892
5215,HD 97633,PM*,0.2692968176,2.9419274,20.3160,3.35
5216,HD 40083,*,0.9520248833,1.569919852,9.1952,6.129
5217,HD 29488,PM*,0.2778210793,1.218567227,18.2308,4.665
5218,HD 220074,*,1.081582771,6.109698092,3.0137,6.400
5219,HD 221124,PM*,0.9366627771,6.147342918,5.9487,6.920
5220,HD 29573,**,-0.2115875651,1.216898107,14.2348,5.002
5221,HD 63271,*,-0.3930395906,2.038584875,2.7141,5.87
5222,HD 25616,PM*,0.8190064084,1.073534025,8.8290,6.78
5223,HD 190167,*,0.4976776336,5.248154657,2.5967,6.931
5224,HD 20536,*,1.082089794,0.8784134323,2.7963,6.77
5225,HD 75001,PM*,-1.441061301,2.244427505,7.6457,6.83
5226,HD 94367,sg*,-0.9990335326,2.847129866,0.4441,5.25
5227,HD 25631,*,-0.3515755651,1.062087191,2.6386,6.450
5228,HD 163245,*,-0.3281595293,4.694569943,10.0973,6.469
5229,HD 110666,*,-0.4943463156,3.333617509,7.692,5.454
5230,HD 82105,PM*,0.3807032365,2.488806777,8.5387,6.960
5231,HD 73121,PM*,-0.6976159653,2.248023144,27.6505,6.431
5232,HD 17605,PM*,0.6448699647,0.7443313788,16.2952,6.440
5233,HD 22820,PM*,-0.1182835308,0.9589989261,9.1324,6.96
5234,HD 193807A,*,-0.7404182922,5.340211626,~,5.93
5235,HD 100203A,*,1.066095093,3.02092885,~,5.64
5236,HD 219736,PM*,0.531601466,6.099467473,3.7417,6.99
5237,HD 151431,*,0.03603282937,4.394575653,4.7557,6.077
5238,HD 50554,PM*,0.423164801,1.809530181,32.1855,6.84
5239,HD 147977,*,-1.022759348,4.312065703,3.3419,5.673
5240,HD 4730,PM*,-0.2366888306,0.2156657487,9.9817,5.594
5241,HD 37744,V*,-0.04930968313,1.486242168,2.5199,6.22
5242,HD 55474,**,-0.6824608717,1.882236375,9.8494,6.87
5243,HD 78004,PM*,-0.8220105473,2.374322618,10.8265,3.75
5244,HD 137898,PM*,0.03215035495,4.051944539,24.9485,5.17
5245,HD 214572,PM*,-0.1750182866,5.930922252,11.6307,6.95
5246,HD 208509,SB*,1.28634729,5.728093552,12.1098,6.637
5247,HD 198667,V*,-0.09611629745,5.463512792,4.1831,5.554
5248,HD 210641,*,1.119146407,5.802091938,1.2728,6.94
5249,HD 30185,PM*,-0.8810655042,1.233833143,9.2103,5.298
5250,HD 143699,*,-0.6737414107,4.203639286,7.4476,4.89
5251,HD 12111,**,1.237560035,0.5321430577,28.8300,4.54
5252,HD 88473A,*,-1.198741851,2.659464745,~,6.47
5253,HD 86358,SB*,0.4844859323,2.611160835,13.2954,6.460
5254,HD 139891,*,0.6394333069,4.098778058,6.4062,5.93
5255,HD 48217,PM*,-0.1600036662,1.753793027,9.5111,5.194
5256,HD 120848,**,0.1769051948,3.629688298,4.595,6.57
5257,HD 36959,Y*O,-0.1048815215,1.461786481,2.7919,5.53
5258,HD 109074,*,-0.5678212623,3.281538176,6.2656,6.460
5259,HD 79752,*,-0.2622341742,2.423458574,8.7865,6.318
5260,HD 14619,*,0.9090216041,0.6254223893,14.4664,6.64
5261,HD 51823,*,-0.4806202323,1.822606293,2.6223,6.23
5262,HD 55718A,*,-0.6378198176,1.886833509,3.5712,6.055
5263,HD 47129,SB*,0.1070825872,1.733987672,0.7615,6.06
5264,HD 209112,V*,1.094286328,5.754752205,2.8388,5.979
5265,HD 193370,SB*,0.6105645276,5.317368968,0.9740,5.162
5266,HD 49429,RG*,0.1547452434,1.783436646,5.5086,6.91
5267,HD 157358,SB*,0.501923256,4.544491364,6.7267,6.397
5268,HD 181980,*,-0.891874225,5.083995991,3.902,6.90
5269,HD 154132,PM*,-0.447595832,4.471207689,12.2737,6.60
5270,HD 64486,PM*,1.38718095,2.115270613,9.5700,5.387
5271,HD 61966,a2*,-0.9297954801,2.002788435,5.3886,6.044
5272,HD 48073,*,0.6483440394,1.759418608,7.003,6.206
5273,HD 98048,*,-0.605068835,2.95104651,8.4938,6.79
5274,HD 30508,PM*,0.04739152722,1.258648184,19.8818,6.52
5275,HD 4161,SB*,1.308788732,0.1991912692,10.6528,5.652
5276,HD 75698,*,0.5667809985,2.323805687,14.7289,5.664
5277,HD 50862,*,-1.15703835,1.789145064,3.73,6.98
5278,HD 197814,*,-0.005941281885,5.43678847,6.5373,6.763
5279,HD 200340,*,-0.01613984385,5.510849976,2.5131,6.488
5280,HD 43228,*,0.525387547,1.64210671,4.3057,6.91
5281,HD 14771,*,0.7348236146,0.6285188357,0.9209,6.66
5282,HD 223256A,PM*,-0.8882146652,6.231329212,5.7276,6.91
5283,HD 176593,*,-0.2667319959,4.980989092,5.3977,6.32
5284,HD 204188,dS*,0.3381687427,5.613172395,21.6789,6.064
5285,HD 66299A,*,0.5764958201,2.112458034,~,6.93
5286,HD 5118,*,0.6530708472,0.2333085479,8.4027,6.057
5287,HD 118319,V*,-0.6015772619,3.564149291,8.1836,6.476
5288,HD 10647,PM*,-0.937954443,0.4471907711,57.6409,5.52
5289,HD 99556,*,-1.0666609,2.995815323,2.2216,5.54
5290,HD 12431,PM*,-0.9601543724,0.5248278827,6.6286,6.51
5291,HD 148743,pA*,-0.1311519495,4.321872895,0.2808,6.461
5292,HD 90432,PM*,-0.29384867,2.73183488,13.3710,3.81
5293,HD 106922,**,-0.6299587677,3.219206401,6.66,6.14
5294,HD 23920,*,-0.4595208547,0.9947684304,6.0523,6.97
5295,HD 87122,*,-0.9790697926,2.623228827,4.9397,6.412
5296,HD 76243,LP?,-0.1985738586,2.332795819,2.043,6.60
5297,HD 117304,PM*,0.1888151149,3.530873841,11.2146,5.646
5298,HD 147934,*,-0.409216313,4.300420912,5.4764,6.66
5299,HD 952,*,0.5795547534,0.06125224863,9.9868,6.25
5300,HD 91365,*,0.6106679221,2.764231456,6.3892,5.580
5301,HD 87488,a2*,-0.491985417,2.639011867,4.3691,6.96
5302,HD 6961,PM*,0.9625473323,0.3102440623,23.8844,4.330
5303,HD 220933,a2*,0.4392518875,6.142132622,8.5728,5.979
5304,HD 126759,*,-0.8376198509,3.791139201,7.1627,6.390
5305,HD 139178,*,-0.1051850621,4.087909323,5.0987,6.96
5306,HD 11544,*,0.9875505309,0.5015183572,1.1037,6.827
5307,HD 224492A,*,0.6110932181,6.275997279,8.2448,6.79
5308,HD 38771,s*b,-0.1687664432,1.517373896,5.04,2.06
5309,HD 28828,*,1.070974842,1.205784448,4.0883,6.89
5310,HD 115446,SB*,-0.2004253769,3.479166734,7.3579,6.60
5311,HD 180968,Pu*,0.4018714744,5.051538117,1.8212,5.43
5312,HD 31295,PM*,0.1771654802,1.286724218,27.0067,4.648
5313,HD 114946,PM*,-0.347860625,3.465270883,26.5757,5.33
5314,HD 170795,*,-0.008411796053,4.849253172,2.9087,7.0
5315,HD 160840,AB*,-0.5700730161,4.64077161,3.2069,6.77
5316,HD 108973,*,0.6908370917,3.277174365,6.2833,6.78
5317,HD 34745,PM*,0.04387076932,1.395466289,26.9256,6.99
5318,HD 165135,PM*,-0.5310005398,4.73773175,32.2697,2.99
5319,HD 189754,*,0.3491578476,5.239772512,2.5182,6.50
5320,HD 12641,SB*,-0.005938355967,0.5401912993,9.6577,5.942
5321,HD 198149,PM*,1.079290347,5.433600855,69.5976,3.410
5322,HD 175193,*,-0.5098649044,4.954256896,4.733,6.74
5323,HD 162076,*,0.3589346349,4.661830273,12.119,5.687
5324,HD 31067,*,1.139321077,1.298204182,6.5866,6.71
5325,HD 159517,PM*,-1.487279323,4.719238524,13.7978,6.445
5326,HD 21049,*,0.3846761289,0.8926255817,6.4007,6.920
5327,HD 134140,V*,-0.4624647202,3.966080085,2.706,6.94
5328,HD 172654,PM*,-0.05442813151,4.893792548,7.1148,6.71
5329,HD 74485,*,0.5357768126,2.292302636,5.3592,6.119
5330,HD 152431,*,-0.5338498892,4.427024786,6.0947,6.34
5331,HD 45983,SB*,-0.7168915165,1.696053591,13.5342,6.316
5332,HD 189276,*,1.027055904,5.218198392,3.668,4.96
5333,HD 128198,PM*,0.6392454001,3.816344198,5.9435,5.999
5334,HD 84042,**,-0.5828758921,2.536896238,5.7353,6.90
5335,HD 76494,*,0.07394227996,2.341434636,3.9262,6.131
5336,HD 162834,*,-0.1034787455,4.6829641,5.6094,6.85
5337,HD 39014,*,-1.147300877,1.504355278,21.8720,4.36
5338,HD 23675,BS?,0.9190101639,1.00120593,0.9264,6.82
5339,HD 54309,Be*,-0.4160989719,1.864781578,1.3486,5.83
5340,HD 174897,*,0.2536922558,4.940636965,7.0391,6.52
5341,HD 169966,*,-0.4014193822,4.835078167,5.635,6.97
5342,HD 11643,PM*,-0.6736033961,0.4947406733,9.4821,6.086
5343,HD 57087,PM*,-0.3004280839,1.91576836,6.4112,6.78
5344,HD 38602,El?,-1.375683686,1.464344238,3.7076,6.033
5345,HD 214466,*,-0.6833823389,5.929503672,2.5518,6.95
5346,HD 40568,*,0.9951572981,1.584200235,5.5977,6.480
5347,HD 5137,*,0.514685203,0.2339445351,6.5617,6.71
5348,HD 101782,PM*,-1.450367529,3.058784654,9.1605,6.328
5349,HD 40183,SB*,0.7844806887,1.56873996,40.21,1.90
5350,HD 23508,PM*,-0.7096559704,0.9778483174,10.7231,6.53
5351,HD 187796,S*,0.574458521,5.194821354,6.2686,4.24
5352,HD 60687,V*,-0.7524765454,1.98023959,3.1489,6.65
5353,* bet Hya A,PM*,-0.5918086025,3.11065094,~,4.69
5354,HD 222386,*,1.314108687,6.192295419,11.7781,5.946
5355,HD 168913,SB*,0.5211365205,4.803798435,17.9191,5.63
5356,HD 187642,dS*,0.1547814041,5.195772356,194.95,0.76
5357,HD 53952A,PM*,-0.6069853611,1.85674088,17.5516,6.43
5358,HD 4526,SB*,0.1176521479,0.206794883,8.6186,5.961
5359,HD 29920,*,-1.088710839,1.216587359,6.6844,6.78
5360,HD 26101,*,1.195570679,1.103326215,7.3769,6.326
5361,HD 205765,*,-0.006816589489,5.661685385,8.8688,6.214
5362,HD 28143,PM*,-0.6066325413,1.156022773,10.9156,6.552
5363,HD 198853,LP?,-0.4873873353,5.472084916,3.6795,6.409
5364,HD 187260,*,0.2062240479,5.186693265,~,6.75
5365,HD 156860,LP?,0.03734202551,4.536874553,6.2424,6.55
